FeatureID	Mock.3	Mock.2	Mock.1
d48eeaecb871518ba4e11d1aa1d8bcbb	7468.0	4999.0	5242.0
87911359940e653775ec69e92ce60108	6254.0	3488.0	4095.0
bd81f00fac7cfe112949c77cd943bbad	5032.0	2566.0	3723.0
d735827e8c9fbe5b6cb8d60976076416	4952.0	3459.0	7573.0
2cc5e8a108cbbe4c1dfe3126e6192d98	4375.0	2482.0	2580.0
d03ca5e8f74dbdfd8c0bb07de9049815	3802.0	2353.0	3869.0
638ba109fec2bb27d5564f2ba95523cb	3126.0	1980.0	2268.0
79c30328522455fabacd8f04fd2479d8	2976.0	1832.0	2074.0
171be7c96c0335f324d4944988c595c5	2793.0	1900.0	1762.0
9af25943261b01c1fe84b8c617b23078	2029.0	1563.0	1831.0
06e9965863cbd2673071e43ea32612d9	1839.0	1105.0	1602.0
de358384c262fffe5574873206053533	1493.0	828.0	1290.0
805835e9bf3bd3095815b9483ff9ed30	1324.0	812.0	884.0
d374c2f3352092dd2c1ecf3aabe74277	1297.0	824.0	801.0
7ff7f9832be57dc8108fd6390e8e905c	1040.0	599.0	693.0
1836a383f4d66000688d33087c6608ae	663.0	364.0	493.0
0f30c81d2e95cdb37d44661270d73d3a	607.0	424.0	941.0
74cbdaeaced6bd3a886efe2a40dbb783	591.0	380.0	542.0
205f6ef616578d01de786903537b64a9	142.0	94.0	117.0
0e80aa84e06fdb16161174c40802c767	99.0	72.0	83.0
6cff212db057d83a06f8a1169118ca76	23.0	13.0	17.0
ea10825e5788bd2b72e64642e7d0d397	5.0	5.0	9.0
